"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86371",NaN,NaN,NaN,NaN,NaN,1117,NaN,NaN,NaN,NaN
"86384",434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86392",NaN,NaN,351,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86395",NaN,NaN,169,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86396",NaN,NaN,653,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86397",NaN,NaN,1649,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86398",NaN,NaN,1682,NaN,1029,NaN,NaN,NaN,NaN,NaN
"86400",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,NaN
"86407",NaN,1391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86408",NaN,304,NaN,NaN,5,NaN,NaN,NaN,66,NaN
"86409",NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86410",NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,769,NaN
"86411",NaN,385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86412",500,133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86413",NaN,98,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN
"86414",NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86415",NaN,NaN,NaN,NaN,45,NaN,NaN,NaN,NaN,NaN
"86419",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,NaN
"86421",1528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86422",305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86423",500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86430",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,NaN
"86431",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35
"86434",NaN,NaN,NaN,NaN,NaN,2896,NaN,NaN,NaN,NaN
"86435",NaN,NaN,NaN,NaN,NaN,355,NaN,NaN,NaN,NaN
"86436",NaN,132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86438",NaN,83,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN
"86441",NaN,NaN,NaN,NaN,50,85,NaN,NaN,48,NaN
"86443",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,NaN
"86445",1645,216,NaN,NaN,NaN,209,NaN,NaN,NaN,NaN
"86446",NaN,NaN,NaN,NaN,91,NaN,65,118,77,708
"86449",47,NaN,1483,60,NaN,NaN,NaN,NaN,NaN,NaN
"86451",NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86452",500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86454",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235,NaN
